datetime;daynum;dollar;delta
01.01.2009;1;29,3916;0
12.01.2009;12;30,5331;1,1415
13.01.2009;13;30,9981;0,465
14.01.2009;14;31,2226;0,2245
15.01.2009;15;31,5616;0,339
16.01.2009;16;32,2135;0,6519
17.01.2009;17;32,5747;0,3612
20.01.2009;20;32,9085;0,3338
21.01.2009;21;33,4154;0,5069
22.01.2009;22;32,643;-0,7724
23.01.2009;23;32,7991;0,1561
24.01.2009;24;32,8926;0,0935
27.01.2009;27;32,9018;0,0092
28.01.2009;28;32,9979;0,0961
29.01.2009;29;33,2155;0,2176
30.01.2009;30;34,6847;1,4692
31.01.2009;31;35,4146;0,7299
03.02.2009;34;36,1767;0,7621
04.02.2009;35;36,129;-0,0477
05.02.2009;36;36,0135;-0,1155
06.02.2009;37;36,3095;0,296
07.02.2009;38;36,3798;0,0703
10.02.2009;41;36,1258;-0,254
11.02.2009;42;35,9285;-0,1973
12.02.2009;43;35,8323;-0,0962
13.02.2009;44;34,8003;-1,032
14.02.2009;45;34,5578;-0,2425
17.02.2009;48;34,7797;0,2219
18.02.2009;49;35,6345;0,8548
19.02.2009;50;36,4267;0,7922
20.02.2009;51;36,091;-0,3357
21.02.2009;52;36,076;-0,015
25.02.2009;56;36,0254;-0,0506
26.02.2009;57;35,7442;-0,2812
27.02.2009;58;35,7223;-0,0219
28.02.2009;59;35,7205;-0,0018
03.03.2009;62;36,1644;0,4439
04.03.2009;63;36,2054;0,041
05.03.2009;64;36,2284;0,023
06.03.2009;65;35,8899;-0,3385
07.03.2009;66;35,7374;-0,1525
11.03.2009;70;35,4534;-0,284
12.03.2009;71;35,1164;-0,337
13.03.2009;72;35,2944;0,178
14.03.2009;73;34,8316;-0,4628
17.03.2009;76;34,8388;0,0072
18.03.2009;77;34,5318;-0,307
19.03.2009;78;34,4203;-0,1115
20.03.2009;79;33,8222;-0,5981
21.03.2009;80;33,423;-0,3992
24.03.2009;83;33,3034;-0,1196
25.03.2009;84;33,2726;-0,0308
26.03.2009;85;33,7268;0,4542
27.03.2009;86;33,4668;-0,26
28.03.2009;87;33,4133;-0,0535
31.03.2009;90;34,0134;0,6001
01.04.2009;91;33,9032;-0,1102
02.04.2009;92;33,9456;0,0424
03.04.2009;93;33,7636;-0,182
04.04.2009;94;33,4095;-0,3541
07.04.2009;97;33,1743;-0,2352
08.04.2009;98;33,384;0,2097
09.04.2009;99;33,7781;0,3941
10.04.2009;100;33,5334;-0,2447
11.04.2009;101;33,6309;0,0975
14.04.2009;104;33,4863;-0,1446
15.04.2009;105;33,3887;-0,0976
16.04.2009;106;33,4507;0,062
17.04.2009;107;33,4184;-0,0323
18.04.2009;108;33,4677;0,0493
21.04.2009;111;33,5371;0,0694
22.04.2009;112;34,1043;0,5672
23.04.2009;113;34,0597;-0,0446
24.04.2009;114;33,7848;-0,2749
25.04.2009;115;33,4187;-0,3661
28.04.2009;118;33,3904;-0,0283
29.04.2009;119;33,5533;0,1629
30.04.2009;120;33,2491;-0,3042
01.05.2009;121;32,974;-0,2751
